#{"t_start": 1754090419.815753, "env_id": "None"}
r,l,t
0.0,25,67.305329
0.0,25,67.305329
0.0,25,67.305329
-53.741165,25,67.305329
0.0,25,67.382944
0.0,25,67.382944
0.0,25,67.382944
0.0,25,67.382944
30.0,25,67.461814
30.0,25,67.461814
30.0,25,67.461814
-30.0,25,67.461814
20.0,25,67.542171
20.0,25,67.542171
20.0,25,67.542171
-20.0,25,67.542171
0.0,25,67.627248
0.0,25,67.627248
0.0,25,67.627248
0.0,25,67.627248
0.0,25,67.693194
0.0,25,67.693194
0.0,25,67.693194
0.0,25,67.693194
0.0,25,67.768403
0.0,25,67.768403
0.0,25,67.768403
0.0,25,67.768403
0.0,25,67.838412
0.0,25,67.839689
0.0,25,67.839689
-36.483532,25,67.839689
30.0,25,67.908302
30.0,25,67.908302
30.0,25,67.908302
-30.0,25,67.908302
30.0,25,67.982559
30.0,25,67.982559
30.0,25,67.982559
-30.0,25,67.982559
0.0,25,68.062278
0.0,25,68.062278
0.0,25,68.062278
0.0,25,68.062278
0.0,25,68.141882
0.0,25,68.141882
0.0,25,68.141882
0.0,25,68.141882
0.0,25,68.228635
0.0,25,68.228635
0.0,25,68.228635
-38.69506,25,68.228635
0.0,25,68.304846
0.0,25,68.304846
0.0,25,68.304846
0.0,25,68.304846
20.0,25,68.372203
20.0,25,68.372203
20.0,25,68.372203
-20.340332,25,68.372203
30.0,25,68.438403
30.0,25,68.438403
30.0,25,68.438403
-47.809574,25,68.438403
0.0,25,68.509805
0.0,25,68.509805
0.0,25,68.509805
0.0,25,68.509805
0.0,25,68.573222
0.0,25,68.573222
0.0,25,68.573222
-7.4871693,25,68.573222
0.0,25,68.638219
0.0,25,68.638219
0.0,25,68.638219
0.0,25,68.638219
30.0,25,68.699946
30.0,25,68.699946
30.0,25,68.699946
-30.0,25,68.699946
0.0,25,68.785919
0.0,25,68.785919
0.0,25,68.785919
0.0,25,68.785919
0.0,25,68.868374
0.0,25,68.868374
0.0,25,68.868374
-29.59342,25,68.868374
20.0,25,68.951819
20.0,25,68.951819
20.0,25,68.951819
-21.601652,25,68.951819
0.0,25,69.055237
0.0,25,69.055237
0.0,25,69.055237
0.0,25,69.055237
30.0,25,69.162063
30.0,25,69.162063
30.0,25,69.162063
-30.0,25,69.162063
0.0,25,69.246281
0.0,25,69.246281
0.0,25,69.246281
-22.518108,25,69.246281
0.0,25,69.31802
0.0,25,69.31802
0.0,25,69.31802
0.0,25,69.31802
0.0,25,69.408252
0.0,25,69.408252
0.0,25,69.408252
0.0,25,69.408252
0.0,25,69.486276
0.0,25,69.486276
0.0,25,69.486276
-0.9809599,25,69.486276
0.0,25,69.57207
0.0,25,69.57207
0.0,25,69.57207
-13.983857,25,69.57207
0.0,25,69.650131
0.0,25,69.650131
0.0,25,69.650131
0.0,25,69.650131
0.0,25,69.742049
0.0,25,69.742049
0.0,25,69.742049
0.0,25,69.742049
0.0,25,69.819734
0.0,25,69.819734
0.0,25,69.819734
0.0,25,69.819734
0.0,25,69.900223
0.0,25,69.900223
0.0,25,69.900223
0.0,25,69.900223
0.0,25,69.964096
0.0,25,69.964096
0.0,25,69.964096
0.0,25,69.964096
0.0,25,70.056181
0.0,25,70.056181
0.0,25,70.056181
0.0,25,70.056181
0.0,25,70.150162
0.0,25,70.150162
0.0,25,70.152169
-2.1446638,25,70.152169
10.0,25,70.220753
10.0,25,70.220753
10.0,25,70.220753
-10.0,25,70.220753
10.0,25,70.31232
10.0,25,70.31232
10.0,25,70.31232
-10.0,25,70.31232
0.0,25,70.40425
0.0,25,70.40425
0.0,25,70.40425
0.0,25,70.40425
30.0,25,70.488433
30.0,25,70.488433
30.0,25,70.488433
-30.0,25,70.488433
0.0,25,70.594355
